date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-01-01,2.9,1.5,3.9,0,0,27,7.2,27.4,1024.8,0
2016-01-02,0.5,0,1.5,4.6,0,89,10.4,28.4,1015.6,0
2016-01-03,0.2,-2.2,1.4,5.1,0,71,7.9,27.7,1008.2,0
2016-01-04,1.4,-2.6,5.7,2.8,40,181,14,37.1,994.5,72
2016-01-05,2.6,-1.1,6.8,0.9,0,174,12.2,42.1,996.6,186
2016-01-06,2.6,-0.4,5.9,1.7,0,174,9,34.2,1000.4,18
2016-01-07,3.5,2,5.8,4.4,0,172,11.5,33.1,999.7,138
2016-01-08,3.9,1.9,7,3.6,0,189,10.4,26.3,1005.7,192
2016-01-09,4.9,1.8,6.9,1,0,132,5.4,13.7,1003.2,0
2016-01-10,4,-0.2,6.5,15.5,0,160,10.4,37.4,999.3,0
2016-01-11,4.9,2.7,6.7,7.3,0,196,19.8,70.9,992.9,12
2016-01-12,4.3,2.1,5.8,0.1,0,232,28.8,57.6,999.4,30
2016-01-13,2.4,0.5,3.7,1,0,235,30.6,66.6,1012.7,6
2016-01-14,0.8,-2.5,3.7,0.6,0,173,12.2,34.6,1011.8,324
2016-01-15,0,-1,1.8,0.5,10,230,25.9,56.5,1010.1,0
2016-01-16,-0.7,-1.5,0,0.2,60,264,14,45.7,1019,18
2016-01-17,-2.8,-8.7,-1.1,1,60,271,15.5,39.2,1021.7,90
2016-01-18,-7.5,-13.3,-3.5,0,60,68,9,22.7,1021.2,354
2016-01-19,-5.9,-7.6,-3.2,0,50,83,6.1,15.1,1016.3,6
2016-01-20,-6.5,-13.5,-0.2,0.2,40,62,3.2,14.4,1019.4,408
2016-01-21,-3.8,-12.3,2,0,50,68,6.1,19.8,1026.3,48
2016-01-22,-8.2,-14.4,-6,1.2,50,121,6.8,14.4,1031.4,0
2016-01-23,0.1,-8.6,4,0.5,50,196,10.4,34.6,1033.1,0
2016-01-24,-0.2,-4.9,3.5,0.2,0,157,4.3,13.7,1034.7,6
2016-01-25,4.4,-0.5,11.1,0,0,150,5,16.6,1029.8,246
2016-01-26,5.7,-1.1,13.8,0,0,160,8.3,29.2,1027.3,366
2016-01-27,8.3,0.9,13.7,0,0,185,12.2,45.4,1022.7,84
2016-01-28,8.8,5.7,12.1,6.4,0,236,13,37.8,1023.1,18
2016-01-29,6.3,2.7,10.5,0,0,243,11.5,36,1028.4,306
2016-01-30,6.4,1.6,10.7,4.7,0,219,22.7,78.1,1018.5,270
2016-01-31,3.8,1.4,10.4,9.2,0,214,17.3,45,1014.3,0
2016-02-01,11.1,6.3,14,0,0,242,29.9,64.4,1019.4,42
2016-02-02,8.7,6.5,11.4,0.6,0,233,22.7,56.5,1019.4,162
2016-02-03,3.4,0.6,9.4,5.8,0,242,17.6,56.9,1019.2,0
2016-02-04,2,0.5,4,6.4,0,235,25.2,58.7,1024.3,42
2016-02-05,3.6,-0.7,7.5,0.1,0,225,10.1,37.8,1026.5,30
2016-02-06,3.9,-2,13.3,0,0,137,7.6,19.4,1017.4,402
2016-02-07,3,-3.2,7.3,0.4,0,215,8.6,34.2,1007.4,48
2016-02-08,7.1,3.1,12.7,3.2,0,203,24.5,85,1006.1,102
2016-02-09,7.8,3.7,11.8,1,0,195,20.2,81.7,998.1,0
2016-02-10,2.7,0.4,4.8,0.7,0,240,25.2,58.7,998.1,132
2016-02-11,1.6,-3.5,5.6,0,0,224,18,43.9,1006.5,6
